OBJECTID,GEOID,PLNG_REGIO,PlanningRegion,LogRecNo,SumLevel,NAME,Pop25P_e,Pop25P_m,NoHS_e,NoHS_m,pNoHS_e,pNoHS_m,SomeHS_e,SomeHS_m,pSomeHS_e,pSomeHS_m,HSGrad_e,HSGrad_m,pHSGrad_e,pHSGrad_m,SomeColl_e,SomeColl_m,pSomeColl_e,pSomeColl_m,Associates_e,Associates_m,pAssociates_e,pAssociates_m,BA_e,BA_m,pBA_e,pBA_m,GradProf_e,GradProf_m,pGradProf_e,pGradProf_m,LtHS_e,LtHS_m,pLtHS_e,pLtHS_m,HSPlus_e,HSPlus_m,pHSPlus_e,pHSPlus_m,BAPlus_e,BAPlus_m,pBAPlus_e,pBAPlus_m,created_user,created_date,last_edited_user,last_edited_date,SHAPE_Length,SHAPE_Area
74,31822,No,RV / TR,3835,ZCTA,ZCTA5 31822,4093,382,92,50,2.2,1.2,405,125,9.9,2.9,1360,219,33.2,4.4,1137,225,27.8,4.9,249,97,6.1,2.3,479,140,11.7,3.3,371,96,9.1,2.2,497,135,12.1,3.1,3596,370,87.9,3.8,850,170,20.8,3.7,,,,,1.20976095353608,0.0288056969890242
75,31823,No,River Valley,3836,ZCTA,ZCTA5 31823,618,215,9,38,1.5,6.1,28,42,4.5,6.6,132,72,21.4,9.1,244,117,39.5,13.1,86,66,13.9,9.6,66,52,10.7,7.5,53,50,8.6,7.6,37,56,6,8.9,581,169,94,42.7,119,72,19.3,9.6,,,,,0.261529255512117,0.00214305605742951
76,31824,No,River Valley,3837,ZCTA,ZCTA5 31824,1196,134,24,39,2,3.3,148,70,12.4,5.7,735,132,61.5,8.6,163,60,13.6,4.7,69,46,5.8,3.8,22,23,1.8,1.9,35,32,2.9,2.7,172,80,14.4,6.5,1024,157,85.6,8.9,57,39,4.8,3.3,,,,,1.11873677996878,0.0279654427898809
77,31825,No,River Valley,3838,ZCTA,ZCTA5 31825,1683,204,151,57,9,3.2,277,84,16.5,4.6,694,142,41.2,6.8,186,54,11.1,2.9,106,52,6.3,3,184,71,10.9,4,85,43,5.1,2.5,428,101,25.4,5.2,1255,181,74.6,5.8,269,83,16,4.5,,,,,1.37367079599302,0.0327337572778268
78,31826,No,River Valley,3839,ZCTA,ZCTA5 31826,1777,285,84,48,4.7,2.6,186,75,10.5,3.9,671,122,37.8,3.2,426,115,24,5.2,104,54,5.9,2.9,257,108,14.5,5.6,49,38,2.8,2.1,270,89,15.2,4.4,1507,210,84.8,18,306,114,17.2,5.8,,,,,0.91990039711232,0.0130705161571372
79,31827,No,River Valley,3840,ZCTA,ZCTA5 31827,1582,153,83,35,5.2,2.2,241,70,15.2,4.2,693,129,43.8,7,300,84,19,5,91,37,5.8,2.3,89,39,5.6,2.4,85,57,5.4,3.6,324,78,20.5,4.5,1258,173,79.5,7.8,174,69,11,4.2,,,,,1.53059613250811,0.0379331548774469
80,31829,No,River Valley,3841,ZCTA,ZCTA5 31829,646,144,17,43,2.6,6.6,15,42,2.3,6.5,217,84,33.6,10.6,188,96,29.1,13.4,84,47,13,6.7,104,63,16.1,9.1,21,43,3.3,6.7,32,60,5,9.2,614,156,95,11.6,125,76,19.3,11,,,,,0.303099435715885,0.00292161008437274
81,31830,No,RV / TR,3842,ZCTA,ZCTA5 31830,1765,249,74,44,4.2,2.4,239,90,13.5,4.7,684,136,38.8,5.4,275,87,15.6,4.4,123,73,7,4,229,80,13,4.1,141,60,8,3.2,313,100,17.7,5.1,1452,203,82.3,16.4,370,100,21,4.8,,,,,1.08413671051045,0.0136879224690639
82,31831,No,River Valley,3843,ZCTA,ZCTA5 31831,2459,385,87,59,3.5,2.3,523,194,21.3,7.2,577,140,23.5,4.4,696,203,28.3,7,201,93,8.2,3.6,195,89,7.9,3.4,180,87,7.3,3.3,610,203,24.8,7.3,1849,291,75.2,1.4,375,124,15.3,4.4,,,,,1.0308928431144,0.0166387382855261
83,31832,No,River Valley,3844,ZCTA,ZCTA5 31832,142,83,39,52,27.5,33.1,56,50,39.4,26.6,6,16,4.2,10.9,26,31,18.3,18.8,9,16,6.3,10.9,6,16,4.2,10.9,0,32,0,22.4,95,72,66.9,32.6,47,52,33.1,31.3,6,36,4.2,24.9,,,,,0.406309030460852,0.00613743071971537
84,31833,No,RV / TR,3845,ZCTA,ZCTA5 31833,4857,567,482,186,9.9,3.7,476,191,9.8,3.8,1482,373,30.5,6.8,1385,304,28.5,5.3,369,153,7.6,3,395,119,8.1,2.3,268,122,5.5,2.4,958,267,19.7,5,3899,532,80.3,5.7,663,171,13.7,3.1,,,,,1.22809435998582,0.0249322669605366
85,31836,No,River Valley,3846,ZCTA,ZCTA5 31836,754,141,45,39,6,5.1,91,44,12.1,5.4,358,97,47.5,9.4,66,38,8.8,4.7,81,41,10.7,5.1,71,38,9.4,4.8,42,42,5.6,5.4,136,59,18,7,618,126,82,6.6,113,57,15,7,,,,,0.99320490693709,0.0209374659532799
86,31901,No,River Valley,3847,ZCTA,ZCTA5 31901,4569,389,269,125,5.9,2.7,797,168,17.4,3.4,1195,205,26.2,3.9,1053,192,23,3.7,257,87,5.6,1.8,636,130,13.9,2.6,362,104,7.9,2.2,1066,210,23.3,4.1,3503,338,76.7,3.5,998,167,21.8,3.1,,,,,0.224627621846643,0.00117616467559096
87,31011,No,Heart of Georgia Altamaha,3576,ZCTA,ZCTA5 31011,511,121,1,34,0.2,6.7,59,30,11.5,5.2,220,62,43.1,6.5,58,27,11.4,4.6,23,16,4.5,3,84,45,16.4,7.9,66,41,12.9,7.5,60,46,11.7,8.5,451,92,88.3,27.6,150,61,29.4,9.7,,,,,0.834390725681965,0.0123830813022933
88,31012,No,Heart of Georgia Altamaha,3577,ZCTA,ZCTA5 31012,2496,869,167,86,6.7,2.5,505,151,20.2,9.3,1283,527,51.4,11.2,276,96,11.1,5.4,105,46,4.2,1.1,111,60,4.4,1.8,49,39,2,1.4,672,173,26.9,11.7,1824,542,73.1,33.5,160,71,6.4,1.8,,,,,0.792268095088188,0.0137042762854853
89,31014,No,HOGA / MG,3578,ZCTA,ZCTA5 31014,8449,264,394,128,4.7,1.5,989,200,11.7,2.3,3475,310,41.1,3.4,1627,226,19.3,2.6,583,130,6.9,1.5,729,159,8.6,1.9,652,137,7.7,1.6,1383,238,16.4,2.8,7066,456,83.6,4.7,1381,210,16.3,2.4,,,,,1.45394735253607,0.0532457919463793
90,31015,No,HOGA / RV,3579,ZCTA,ZCTA5 31015,14056,209,1052,254,7.5,1.8,1587,297,11.3,2.1,5674,522,40.4,3.7,3040,429,21.6,3,782,207,5.6,1.5,1185,220,8.4,1.6,736,174,5.2,1.2,2639,391,18.8,2.8,11417,761,81.2,5.3,1921,280,13.7,2,,,,,1.57734020032282,0.0557126403545638
91,31016,No,MG / TR,3580,ZCTA,ZCTA5 31016,1160,210,26,32,2.2,2.7,222,83,19.1,6.3,434,111,37.4,6.7,234,75,20.2,5.3,108,63,9.3,5.1,45,27,3.9,2.2,91,53,7.8,4.3,248,89,21.4,6.6,912,159,78.6,19.8,136,59,11.7,4.7,,,,,1.38849230377877,0.0229019445137949
92,31017,No,HOGA / MG,3581,ZCTA,ZCTA5 31017,1147,225,69,47,6,3.9,183,86,16,6.8,546,137,47.6,7.4,195,80,17,6.1,53,40,4.6,3.4,66,41,5.8,3.4,35,37,3.1,3.2,252,97,22,7.3,895,173,78,21.5,101,55,8.8,4.5,,,,,1.23756069364559,0.0234868129689937
93,31018,No,Central Savannah River Area,3582,ZCTA,ZCTA5 31018,2013,246,115,64,5.7,3.1,398,93,19.8,3.9,895,146,44.5,4.8,392,94,19.5,4,80,41,4,2,111,64,5.5,3.1,22,34,1.1,1.7,513,113,25.5,4.7,1500,192,74.5,2.9,133,72,6.6,3.5,,,,,1.35513920220294,0.0230465657478486
94,31019,No,Heart of Georgia Altamaha,3583,ZCTA,ZCTA5 31019,1474,153,99,56,6.7,3.7,113,49,7.7,3.2,634,104,43,5.5,210,60,14.2,3.8,86,38,5.8,2.5,173,69,11.7,4.5,159,51,10.8,3.3,212,75,14.4,4.8,1262,152,85.6,5.3,332,86,22.5,5.3,,,,,0.746180564730243,0.013703058383032
95,31020,No,Middle Georgia,3584,ZCTA,ZCTA5 31020,1325,272,58,77,4.4,5.8,419,160,31.6,10.2,527,165,39.8,9.4,206,102,15.5,7,29,26,2.2,1.9,86,65,6.5,4.7,0,32,0,2.4,477,178,36,11.2,848,209,64,8.7,86,73,6.5,5.3,,,,,1.67971999161276,0.0272474946534499
96,31021,No,Heart of Georgia Altamaha,3585,ZCTA,ZCTA5 31021,18652,456,732,185,3.9,1,1757,260,9.4,1.4,7959,487,42.7,2.4,3115,332,16.7,1.7,1607,257,8.6,1.4,1728,229,9.3,1.2,1754,226,9.4,1.2,2489,319,13.3,1.7,16163,719,86.7,3.2,3482,322,18.7,1.7,,,,,2.37963726367211,0.0602172483527289
97,31022,No,Heart of Georgia Altamaha,3586,ZCTA,ZCTA5 31022,1061,137,29,31,2.7,2.9,53,26,5,2.3,344,57,32.4,3.4,264,79,24.9,6.7,138,50,13,4.4,159,44,15,3.6,74,39,7,3.6,82,41,7.7,3.7,979,124,92.3,16.7,233,59,22,4.7,,,,,0.884714697153021,0.0108444234402058
98,31023,No,HOGA / MG,3587,ZCTA,ZCTA5 31023,9688,667,266,95,2.7,1,1044,220,10.8,2.1,3870,522,39.9,4.6,2090,363,21.6,3.4,752,190,7.8,1.9,993,276,10.2,2.8,673,192,6.9,1.9,1310,240,13.5,2.3,8378,744,86.5,4.9,1666,337,17.2,3.3,,,,,1.87997327524183,0.0712543718599444
99,31024,No,Middle Georgia,3588,ZCTA,ZCTA5 31024,14664,404,600,250,4.1,1.7,1576,297,10.7,2,5441,467,37.1,3,2895,403,19.7,2.7,1059,279,7.2,1.9,2125,322,14.5,2.2,968,220,6.6,1.5,2176,388,14.8,2.6,12488,781,85.2,4.8,3093,390,21.1,2.6,,,,,1.73879160541914,0.0879223870116257
100,31025,No,Middle Georgia,3589,ZCTA,ZCTA5 31025,841,198,36,54,4.3,6.3,57,43,6.8,4.9,322,102,38.3,8.1,164,88,19.5,9.4,43,31,5.1,3.5,135,52,16.1,4.9,84,50,10,5.4,93,69,11.1,7.8,748,156,88.9,28,219,72,26,6,,,,,0.768742035608777,0.0157706256821235
101,31027,No,Heart of Georgia Altamaha,3590,ZCTA,ZCTA5 31027,5928,470,605,187,10.2,3,853,225,14.4,3.6,2874,282,48.5,2.8,917,206,15.5,3.3,270,110,4.6,1.8,280,114,4.7,1.9,129,70,2.2,1.2,1458,292,24.6,4.5,4470,389,75.4,2.7,409,134,6.9,2.2,,,,,1.41461666330478,0.0448518482626572
102,31028,No,Middle Georgia,3591,ZCTA,ZCTA5 31028,4319,468,82,83,1.9,1.9,375,163,8.7,3.6,1095,223,25.4,4.4,1259,329,29.2,6.9,381,199,8.8,4.5,646,198,15,4.3,481,198,11.1,4.4,457,183,10.6,4.1,3862,525,89.4,7.3,1127,280,26.1,5.8,,,,,0.307610521657568,0.000889053088159767
103,31029,No,Middle Georgia,3592,ZCTA,ZCTA5 31029,11574,417,361,115,3.1,1,1777,318,15.4,2.7,4262,405,36.8,3.2,2174,300,18.8,2.5,579,177,5,1.5,1371,275,11.8,2.3,1050,225,9.1,1.9,2138,339,18.5,2.8,9436,641,81.5,4.7,2421,356,20.9,3,,,,,1.93906589010742,0.0644945085603826
104,31030,No,Middle Georgia,3593,ZCTA,ZCTA5 31030,10600,486,907,175,8.6,1.6,1110,202,10.5,1.8,3075,296,29,2.5,2577,303,24.3,2.6,735,162,6.9,1.5,1225,222,11.6,2,971,186,9.2,1.7,2017,267,19,2.4,8583,538,81,3.5,2196,290,20.7,2.6,,,,,1.61549307804999,0.04363260869848
105,31031,No,Middle Georgia,3594,ZCTA,ZCTA5 31031,4084,390,178,80,4.4,1.9,551,156,13.5,3.6,1762,226,43.1,3.7,852,210,20.9,4.7,294,114,7.2,2.7,315,116,7.7,2.8,132,69,3.2,1.7,729,176,17.9,4,3355,356,82.1,3.8,447,135,10.9,3.1,,,,,1.32545720619692,0.0335098739233584
106,31032,No,Middle Georgia,3595,ZCTA,ZCTA5 31032,9496,532,192,86,2,0.9,777,197,8.2,2,3038,311,32,2.7,2184,276,23,2.6,929,197,9.8,2,1424,209,15,2,952,189,10,1.9,969,215,10.2,2.2,8527,539,89.8,2.6,2376,282,25,2.6,,,,,1.53098811604015,0.0380785299371418
107,30411,No,Heart of Georgia Altamaha,3362,ZCTA,ZCTA5 30411,3336,290,225,115,6.7,3.4,665,150,19.9,4.1,1488,214,44.6,5.1,382,152,11.5,4.4,228,94,6.8,2.7,304,163,9.1,4.8,44,40,1.3,1.2,890,189,26.7,5.2,2446,325,73.3,7.4,348,168,10.4,5,,,,,1.66192808730576,0.03787521718981
108,31033,No,Middle Georgia,3596,ZCTA,ZCTA5 31033,1649,374,92,71,5.6,4.1,157,100,9.5,5.6,684,188,41.5,6.5,275,143,16.7,7.8,35,28,2.1,1.6,269,164,16.3,9.3,137,72,8.3,3.9,249,122,15.1,6.6,1400,298,84.9,26.4,406,180,24.6,9.3,,,,,1.03603314027044,0.0186019588457603
109,30412,No,Heart of Georgia Altamaha,3363,ZCTA,ZCTA5 30412,56,23,0,37,0,65.7,7,33,12.5,58.5,24,16,42.9,21.7,17,13,30.4,20.1,4,14,7.1,25.4,0,18,0,32.8,4,26,7.1,47.2,7,49,12.5,87.9,49,41,87.5,63.4,4,32,7.1,57.5,,,,,0.119194076440995,0.000383135621764198
110,31035,No,Central Savannah River Area,3597,ZCTA,ZCTA5 31035,891,183,80,32,9,3,173,90,19.4,9.3,383,79,43,1.1,113,43,12.7,4,48,30,5.4,3.2,85,47,9.5,4.9,9,31,1,3.5,253,95,28.4,9,638,111,71.6,19.2,94,56,10.5,5.9,,,,,0.776871021719115,0.0130187947043398
111,30413,No,CSRA / HOGA,3364,ZCTA,ZCTA5 30413,1320,236,86,49,6.5,3.5,161,72,12.2,5,519,134,39.3,7.4,209,83,15.8,5.6,118,76,8.9,5.6,168,84,12.7,6,59,52,4.5,3.9,247,87,18.7,5.7,1073,202,81.3,4.7,227,99,17.2,6.8,,,,,1.63822552403328,0.0310349275007128
112,31036,No,HOGA / MG,3598,ZCTA,ZCTA5 31036,9126,387,441,169,4.8,1.8,1223,315,13.4,3.4,3639,454,39.9,4.7,1865,393,20.4,4.2,750,168,8.2,1.8,710,178,7.8,1.9,498,171,5.5,1.9,1664,358,18.2,3.8,7462,671,81.8,6.5,1208,247,13.2,2.6,,,,,2.10306403133816,0.063052597228712
113,30415,No,Coastal Regional Commission,3365,ZCTA,ZCTA5 30415,4472,506,132,96,3,2.1,535,187,12,4,1584,282,35.4,4.9,1098,254,24.6,5,459,187,10.3,4,431,138,9.6,2.9,233,71,5.2,1.5,667,210,14.9,4.4,3805,451,85.1,3,664,155,14.8,3,,,,,1.61695345411263,0.0403402664591068
114,31037,No,Heart of Georgia Altamaha,3599,ZCTA,ZCTA5 31037,3109,432,126,60,4.1,1.8,795,183,25.6,4.7,1813,277,58.3,3.7,190,98,6.1,3,94,65,3,2,81,52,2.6,1.6,10,29,0.3,0.9,921,192,29.6,4.6,2188,306,70.4,1.2,91,60,2.9,1.9,,,,,1.13735414902479,0.0148035784455278
115,30417,No,CRC / HOGA,3366,ZCTA,ZCTA5 30417,7220,230,695,160,9.6,2.2,919,179,12.7,2.4,2780,265,38.5,3.5,1239,192,17.2,2.6,438,136,6.1,1.9,758,127,10.5,1.7,391,105,5.4,1.4,1614,240,22.4,3.2,5606,391,77.6,4.8,1149,165,15.9,2.2,,,,,1.4014739090348,0.0437321446170534
116,31038,No,MG / NE,3600,ZCTA,ZCTA5 31038,480,206,57,66,11.9,12.9,18,41,3.8,8.4,181,92,37.7,10.2,73,56,15.2,9.8,66,49,13.8,8.2,64,49,13.3,8.6,21,36,4.4,7.3,75,78,15.6,14.8,405,133,84.4,45.6,85,61,17.7,10.2,,,,,1.07979137581266,0.0232915960113413
117,30420,No,Heart of Georgia Altamaha,3367,ZCTA,ZCTA5 30420,674,118,25,30,3.7,4.4,91,49,13.5,6.9,295,74,43.8,7.8,122,53,18.1,7.1,64,30,9.5,4.1,58,28,8.6,3.8,19,30,2.8,4.4,116,58,17.2,8,558,104,82.8,5.1,77,41,11.4,5.7,,,,,0.850649993103201,0.0096009567593371
118,31039,No,River Valley,3601,ZCTA,ZCTA5 31039,0,13,0,37,,,0,37,,,0,18,,,0,26,,,0,18,,,0,18,,,0,32,,,0,52,,,0,52,,,0,37,,,,,,,0.186896691138994,0.000720157780024321
119,30421,No,Heart of Georgia Altamaha,3368,ZCTA,ZCTA5 30421,2374,240,103,58,4.3,2.4,273,106,11.5,4.3,888,167,37.4,5.9,533,146,22.5,5.7,146,79,6.1,3.2,244,86,10.3,3.5,187,93,7.9,3.8,376,121,15.8,4.8,1998,267,84.2,7.4,431,127,18.2,5,,,,,1.21838575612639,0.0253653310278215
120,31041,No,River Valley,3602,ZCTA,ZCTA5 31041,630,168,82,42,13,5.8,104,48,16.5,6.1,164,67,26,8,215,93,34.1,11.6,15,14,2.4,2.1,35,20,5.6,2.8,15,30,2.4,4.7,186,64,29.5,6.4,444,120,70.5,3.5,50,36,7.9,5.3,,,,,0.969508765686618,0.0136757477429227
121,30423,No,Heart of Georgia Altamaha,3369,ZCTA,ZCTA5 30423,107,72,1,35,0.9,32.3,36,39,33.6,28.1,41,45,38.3,33.1,12,18,11.2,14.7,3,14,2.8,12.9,1,14,0.9,12.7,13,26,12.1,22.7,37,52,34.6,42.5,70,58,65.4,31.8,14,29,13.1,25.9,,,,,0.0829261543403499,0.000197626702575954
122,31042,No,Middle Georgia,3603,ZCTA,ZCTA5 31042,1009,147,43,34,4.3,3.4,112,52,11.1,4.9,609,108,60.4,6.1,105,52,10.4,4.9,27,20,2.7,2,57,27,5.6,2.5,56,41,5.6,4,155,63,15.4,5.8,854,131,84.6,4.1,113,49,11.2,4.6,,,,,1.12615144513787,0.0241798073708637
123,30425,No,CRC / CSRA / HOGA,3370,ZCTA,ZCTA5 30425,875,226,50,38,5.7,4,71,51,8.1,5.5,309,107,35.3,8.1,233,72,26.6,4.6,82,45,9.4,4.6,65,50,7.4,5.4,65,54,7.4,5.9,121,63,13.8,6.3,754,155,86.2,28.5,130,74,14.9,7.5,,,,,1.33151678309622,0.0181016648839371
124,31044,No,Middle Georgia,3604,ZCTA,ZCTA5 31044,2602,314,310,165,11.9,6.2,493,138,18.9,4.8,761,166,29.2,5.3,491,130,18.9,4.5,120,62,4.6,2.3,237,101,9.1,3.7,190,80,7.3,2.9,803,216,30.9,7.4,1799,254,69.1,5.1,427,129,16.4,4.5,,,,,1.78696266071928,0.0432745820689424
125,30426,No,CRC / CSRA,3371,ZCTA,ZCTA5 30426,482,130,44,35,9.1,6.9,211,84,43.8,12.9,117,55,24.3,9.3,59,41,12.2,7.8,34,23,7.1,4.3,6,8,1.2,1.5,11,28,2.3,5.8,255,92,52.9,12.5,227,78,47.1,9.9,17,29,3.5,6,,,,,1.32938166205279,0.0302086994007106
126,31045,No,Central Savannah River Area,3605,ZCTA,ZCTA5 31045,45,51,0,37,0,81.7,0,37,0,81.7,9,20,20,37.8,36,41,80,128,0,18,0,40.9,0,18,0,40.9,0,32,0,70.8,0,52,0,115.6,45,61,100,74.8,0,37,0,81.7,,,,,0.279156215107265,0.000928118764068528
127,31730,No,Southwest Georgia,3783,ZCTA,ZCTA5 31730,6042,350,432,145,7.1,2.4,829,197,13.7,3.2,2156,283,35.7,4.2,1153,216,19.1,3.4,346,101,5.7,1.6,790,215,13.1,3.5,336,115,5.6,1.9,1261,245,20.9,3.9,4781,443,79.1,5.7,1126,244,18.6,3.9,,,,,1.90395571167084,0.0620801483005836
128,30427,No,CRC / HOGA,3372,ZCTA,ZCTA5 30427,8356,456,739,182,8.8,2.1,1364,256,16.3,2.9,2969,304,35.5,3.1,1585,291,19,3.3,600,179,7.2,2.1,714,142,8.5,1.6,385,122,4.6,1.4,2103,314,25.2,3.5,6253,494,74.8,4.3,1099,188,13.2,2.1,,,,,2.18940085860968,0.059864778436123
129,30041,Yes,Georgia Mountains,3174,ZCTA,ZCTA5 30041,41806,761,1088,219,2.6,0.5,1412,235,3.4,0.6,6558,460,15.7,1.1,7162,481,17.1,1.1,2937,312,7,0.7,14771,591,35.3,1.3,7878,508,18.8,1.2,2500,321,6,0.8,39306,1071,94,1.9,22649,779,54.2,1.6,,,,,0.968132762403439,0.0171551881567116
130,31046,No,Middle Georgia,3606,ZCTA,ZCTA5 31046,2299,390,56,55,2.4,2.4,191,91,8.3,3.7,945,221,41.1,6.6,480,125,20.9,4.1,242,125,10.5,5.1,201,102,8.7,4.2,184,94,8,3.8,247,106,10.7,4.3,2052,315,89.3,20.4,385,139,16.7,5.3,,,,,1.18042063017965,0.0189229591348112
131,31733,No,Southern Georgia,3784,ZCTA,ZCTA5 31733,1004,181,0,37,0,3.7,86,57,8.6,5.5,438,127,43.6,9.8,188,79,18.7,7.2,111,64,11.1,6.1,110,47,11,4.3,71,40,7.1,3.7,86,68,8.6,6.6,918,174,91.4,5.4,181,62,18,5.2,,,,,0.751741944637871,0.0144645753684857
132,30428,No,Heart of Georgia Altamaha,3373,ZCTA,ZCTA5 30428,1900,232,79,51,4.2,2.6,192,76,10.1,3.8,997,185,52.5,7.3,359,125,18.9,6.2,159,91,8.4,4.7,101,53,5.3,2.7,13,32,0.7,1.7,271,91,14.3,4.5,1629,249,85.7,7.9,114,62,6,3.2,,,,,1.66786832145058,0.0375469139750592
133,30043,Yes,Atlanta Regional Commission,3175,ZCTA,ZCTA5 30043,57348,1560,2512,487,4.4,0.8,3361,520,5.9,0.9,12221,919,21.3,1.5,12502,842,21.8,1.3,6384,654,11.1,1.1,14144,827,24.7,1.3,6224,604,10.9,1,5873,712,10.2,1.2,51475,1740,89.8,1.8,20368,1024,35.5,1.5,,,,,0.677441401244636,0.00831824471051496
134,31047,No,Middle Georgia,3607,ZCTA,ZCTA5 31047,8745,627,65,69,0.7,0.8,604,229,6.9,2.6,1968,341,22.5,3.5,2358,374,27,3.8,955,240,10.9,2.6,1707,366,19.5,3.9,1088,254,12.4,2.8,669,239,7.7,2.7,8076,716,92.3,4.8,2795,446,32,4.6,,,,,0.992088630026025,0.018168874152314
135,31735,No,River Valley,3785,ZCTA,ZCTA5 31735,516,158,42,57,8.1,10.8,22,35,4.3,6.7,220,86,42.6,10.5,118,61,22.9,9.5,42,34,8.1,6,48,30,9.3,5.1,24,32,4.7,6,64,67,12.4,12.4,452,119,87.6,35.4,72,44,14,7.3,,,,,0.44379976885446,0.00648427852801164
136,30429,No,Heart of Georgia Altamaha,3374,ZCTA,ZCTA5 30429,137,90,21,39,15.3,27,29,44,21.2,29.2,47,35,34.3,12.4,12,30,8.8,21.2,0,18,0,13.4,25,20,18.2,8.2,3,29,2.2,21.5,50,59,36.5,36.1,87,61,63.5,16.1,28,36,20.4,22.2,,,,,0.0613308945087874,5.38748577375918e-05
137,30044,Yes,Atlanta Regional Commission,3176,ZCTA,ZCTA5 30044,54199,1322,4455,680,8.2,1.2,4254,548,7.8,1,14084,954,26,1.6,10343,738,19.1,1.3,4400,488,8.1,0.9,11035,933,20.4,1.6,5628,617,10.4,1.1,8709,873,16.1,1.6,45490,1716,83.9,2.4,16663,1119,30.7,1.9,,,,,0.541768431012624,0.00623812307846363
138,31049,No,Heart of Georgia Altamaha,3608,ZCTA,ZCTA5 31049,1195,229,77,52,6.4,4.2,127,44,10.6,3.1,577,134,48.3,6.4,252,88,21.1,6.2,35,23,2.9,1.9,85,57,7.1,4.6,42,37,3.5,3,204,68,17.1,4.7,991,176,82.9,21.7,127,68,10.6,5.3,,,,,1.20525690176616,0.0246282666606337
139,31738,No,Southwest Georgia,3786,ZCTA,ZCTA5 31738,1451,163,77,45,5.3,3,187,59,12.9,3.8,444,107,30.6,6.5,431,94,29.7,5.6,127,50,8.8,3.3,152,66,10.5,4.4,33,31,2.3,2.1,264,75,18.2,4.7,1187,168,81.8,7,185,73,12.7,4.8,,,,,0.730245645407429,0.0154552332610182
140,30434,No,Central Savannah River Area,3375,ZCTA,ZCTA5 30434,3583,344,319,107,8.9,2.9,545,150,15.2,3.9,1502,233,41.9,5.1,584,148,16.3,3.8,279,113,7.8,3.1,202,92,5.6,2.5,152,77,4.2,2.1,864,184,24.1,4.6,2719,322,75.9,5.3,354,121,9.9,3.2,,,,,1.81822694074836,0.0498408507957736
141,30045,Yes,Atlanta Regional Commission,3177,ZCTA,ZCTA5 30045,22781,1417,1003,330,4.4,1.4,1278,369,5.6,1.6,4964,668,21.8,2.6,4949,627,21.7,2.4,2603,559,11.4,2.3,5540,749,24.3,2.9,2444,449,10.7,1.9,2281,495,10,2.1,20500,1383,90,2.4,7984,873,35,3.2,,,,,0.792483436693339,0.00557255123152497
142,31050,No,Middle Georgia,3609,ZCTA,ZCTA5 31050,727,229,74,86,10.2,11.3,105,79,14.4,9.9,266,120,36.6,11.9,142,85,19.5,9.9,72,85,9.9,11.2,47,46,6.5,5.9,21,35,2.9,4.8,179,117,24.6,14.1,548,179,75.4,6.6,68,58,9.4,7.4,,,,,0.520522291308191,0.00547475802597484
143,31743,No,RV / SW,3787,ZCTA,ZCTA5 31743,298,99,9,34,3,11.2,65,50,21.8,15.3,80,34,26.8,7.1,61,39,20.5,11.4,12,14,4,4.5,45,26,15.1,7.3,26,38,8.7,12.3,74,61,24.8,18.6,224,71,75.2,34.5,71,46,23.8,13.3,,,,,0.669877685334936,0.0139756211963902
144,30436,No,Heart of Georgia Altamaha,3376,ZCTA,ZCTA5 30436,7465,405,606,177,8.1,2.3,908,204,12.2,2.6,3036,296,40.7,3.3,1515,233,20.3,2.9,496,138,6.6,1.8,604,159,8.1,2.1,300,98,4,1.3,1514,270,20.3,3.4,5951,443,79.7,4.1,904,187,12.1,2.4,,,,,2.08166577098893,0.071278834747443
145,30046,Yes,Atlanta Regional Commission,3178,ZCTA,ZCTA5 30046,23802,890,1943,427,8.2,1.8,1761,337,7.4,1.4,7239,686,30.4,2.6,5589,547,23.5,2.1,2037,315,8.6,1.3,3541,461,14.9,1.9,1692,309,7.1,1.3,3704,544,15.6,2.2,20098,1085,84.4,3.3,5233,555,22,2.2,,,,,0.413903269604966,0.00398390307040499
146,31744,No,Southwest Georgia,3788,ZCTA,ZCTA5 31744,1818,234,138,65,7.6,3.4,284,85,15.6,4.2,658,114,36.2,4.2,304,91,16.7,4.5,144,57,7.9,2.9,189,76,10.4,4,101,60,5.6,3.2,422,107,23.2,5.1,1396,184,76.8,2.2,290,97,16,4.9,,,,,1.37350584795645,0.0304733739200724
147,30438,No,Heart of Georgia Altamaha,3377,ZCTA,ZCTA5 30438,24,18,0,37,0,153.2,1,34,4.2,143.5,4,14,16.7,56.7,17,21,70.8,70.6,2,14,8.3,56.3,0,18,0,76.6,0,32,0,132.7,1,50,4.2,209.9,23,47,95.8,180.8,0,37,0,153.2,,,,,0.0482535041504255,7.94176765716254e-05
148,30047,Yes,Atlanta Regional Commission,3179,ZCTA,ZCTA5 30047,43926,1439,4133,601,9.4,1.3,2822,438,6.4,1,9623,662,21.9,1.3,7941,569,18.1,1.2,3624,429,8.3,0.9,9486,649,21.6,1.3,6297,526,14.3,1.1,6955,744,15.8,1.6,36971,1282,84.2,1,15783,835,35.9,1.5,,,,,0.740237727948721,0.00708407390226783
